time,ax,ay,az,aT
1.2960,9.4778,-2.2399,-15.4294,18.246
1.3130,6.1354,-6.0891,-4.8609,9.917
1.3350,1.3358,-8.8562,3.4822,9.609
1.3350,0.1807,-8.9749,3.6313,9.683
1.3470,-2.1819,-8.8274,2.7869,9.511
1.3470,-3.2968,-8.7285,2.2311,9.593
1.3630,-4.1471,-7.4542,1.3709,8.640
1.3790,-0.0963,-2.3382,-0.4708,2.387
1.3790,-0.0963,-2.3382,-0.4708,2.387
1.3970,0.8091,-1.2025,-2.8013,3.154
1.4140,0.0969,-0.8442,-0.9564,1.279
1.4150,0.0969,-0.8442,-0.9564,1.279
1.4340,0.7266,-0.9306,2.1890,2.487
1.4350,0.7266,-0.9306,2.1890,2.487
1.4500,0.7713,-0.1097,2.8036,2.910
1.4630,0.4576,0.2530,3.0441,3.089
1.4800,-1.0307,0.5259,2.5871,2.834
1.4810,-1.0307,0.5259,2.5871,2.834
1.4970,-2.5143,1.3721,1.9181,3.447
1.4970,-2.5143,1.3721,1.9181,3.447
1.5130,-4.1469,1.9264,0.6517,4.619
1.5320,-5.0085,1.8419,0.0575,5.337
1.5320,-5.0085,1.8419,0.0575,5.337
1.5470,-4.6367,1.9052,0.3823,5.027
1.5620,-5.2048,2.8339,0.7543,5.974
1.5630,-5.2048,2.8339,0.7543,5.974
1.5790,-6.0252,2.5973,0.7976,6.609
1.5800,-6.0252,2.5973,0.7976,6.609
1.5960,-5.8588,2.0582,1.3172,6.348
1.6130,-5.1073,1.9899,0.9341,5.560
1.6140,-5.1073,1.9899,0.9341,5.560
1.6300,-4.0616,2.3196,0.0518,4.678
1.6310,-3.8226,2.9581,-0.6271,4.874
1.6520,-2.6435,3.0939,0.4608,4.095
1.6520,-2.6435,3.0939,0.4608,4.095
1.6710,1.7815,0.5771,0.9105,2.082
1.6710,1.7815,0.5771,0.9105,2.082
1.6820,2.9435,-0.0735,0.2563,2.956
1.6960,8.1489,-2.8161,-2.7487,9.049
1.7130,8.7775,-3.8816,-2.9070,10.028
1.7130,9.4092,-3.6404,-2.0568,10.296
1.7320,8.3345,-2.0781,-3.8002,9.393
1.7470,3.0050,0.2872,-4.4238,5.356
1.7480,2.1642,1.6007,-2.6293,3.763
1.7630,-0.1526,2.2010,-0.8515,2.365
1.7800,-2.6549,2.7026,-0.6321,3.841
1.7810,-2.6549,2.7026,-0.6321,3.841
1.7970,-0.9269,-4.0346,2.5848,4.880
1.7980,-0.9269,-4.0346,2.5848,4.880
1.8160,1.5983,-4.0269,8.5799,9.612
1.8300,1.1453,-3.8058,4.8670,6.284
1.8300,1.1453,-3.8058,4.8670,6.284
1.8510,-0.7688,-4.8215,-6.5059,8.134
1.8510,-0.7688,-4.8215,-6.5059,8.134
1.8730,-6.8947,-1.5217,-0.2448,7.065
1.8740,-6.8947,-1.5217,-0.2448,7.065
1.8820,-7.8506,-2.2142,-1.4491,8.285
1.8970,-3.2502,-5.5299,-1.9508,6.704
1.9130,-4.4283,-3.8825,3.1749,6.691
1.9140,-4.4283,-3.8825,3.1749,6.691
1.9300,-5.2252,0.6036,-1.5692,5.489
1.9500,-2.7865,7.1161,5.4592,9.392
1.9590,-4.1292,4.9250,4.5324,7.864
1.9640,-5.0931,3.4315,5.0896,7.976
1.9800,-0.6478,1.1734,6.9594,7.087
1.9810,-0.6478,1.1734,6.9594,7.087
1.9980,1.8926,0.4601,2.9447,3.531
1.9980,1.8926,0.4601,2.9447,3.531
2.0150,-0.3054,-0.6379,4.0067,4.069
2.0330,-2.1489,-2.8329,5.9165,6.903
2.0330,-2.1489,-2.8329,5.9165,6.903
2.0500,2.2950,-5.5313,1.7885,6.250
2.0640,3.3191,-4.4815,1.8924,5.889
2.0640,3.3191,-4.4815,1.8924,5.889
2.0890,3.6629,2.0600,-6.7940,7.989
2.0900,3.6629,2.0600,-6.7940,7.989
2.1040,2.9999,4.1842,-6.6664,8.423
2.1120,2.9974,3.6488,-4.2133,6.328
2.1290,1.2999,-3.2093,5.1013,6.165
2.1290,1.2999,-3.2093,5.1013,6.165
2.1450,-0.4568,-4.3900,4.9515,6.633
2.1620,6.6432,0.4052,7.1802,9.790
2.1620,6.6432,0.4052,7.1802,9.790
2.1800,8.2600,-1.6028,2.8462,8.882
2.1800,8.2600,-1.6028,2.8462,8.882
2.1980,7.1349,-4.3347,7.3428,11.118
2.2140,4.2699,-5.4613,5.5796,8.899
2.2150,4.2699,-5.4613,5.5796,8.899
2.2320,4.4771,0.1765,-5.2293,6.886
2.2600,1.5568,11.0548,-19.6673,22.615
2.2610,-0.4053,8.9860,-19.3363,21.326
2.2610,-0.4053,8.9860,-19.3363,21.326
2.2700,-2.7067,5.6302,-16.3545,17.507
2.2800,-1.3646,4.5689,-12.3471,13.236
2.2970,1.7899,3.9692,-3.7498,5.746
2.3130,21.1872,5.8528,4.0905,22.358
2.3140,22.3169,3.7341,2.6742,22.785
2.3320,-18.4553,-20.4939,-6.8548,28.418
2.3330,-18.4553,-20.4939,-6.8548,28.418
2.3480,-3.8046,-7.0319,-0.7969,8.035
2.3620,1.0359,-4.7306,2.9085,5.649
2.3790,1.3954,-2.3641,6.9154,7.440
2.3790,1.3954,-2.3641,6.9154,7.440
2.3960,5.2758,1.2878,11.8928,13.074
2.3960,5.2758,1.2878,11.8928,13.074
2.4140,1.8709,-3.8652,7.2198,8.400
2.4290,1.9139,-1.2283,3.5518,4.217
2.4290,1.9139,-1.2283,3.5518,4.217
2.4460,-2.0265,-0.5582,-3.4109,4.007
2.4470,-2.0265,-0.5582,-3.4109,4.007
2.4620,-2.9475,-0.0767,-2.3714,3.784
2.4790,-3.5108,-2.3090,-1.2293,4.378
2.4790,-3.5108,-2.3090,-1.2293,4.378
2.4960,-5.4347,-5.6119,3.4117,8.525
2.5130,3.6272,-1.9978,-1.8267,4.526
2.5130,3.6272,-1.9978,-1.8267,4.526
2.5300,3.2914,-1.2076,-1.0694,3.665
2.5480,-1.9435,-1.3377,-2.2650,3.271
2.5480,-1.9435,-1.3377,-2.2650,3.271
2.5630,-0.8543,0.3127,-1.8389,2.052
2.5630,-0.8543,0.3127,-1.8389,2.052
2.5800,1.2356,-1.3185,0.2143,1.820
2.5970,-4.1649,-3.8341,-5.8613,8.149
2.5970,-4.1649,-3.8341,-5.8613,8.149
2.6140,-8.9638,-4.4183,-3.9902,10.761
2.6150,-8.9638,-4.4183,-3.9902,10.761
