time,ax,ay,az,aT
1.2760,1.4523,-3.2402,-2.3676,4.268
1.2770,1.4523,-3.2402,-2.3676,4.268
1.2890,1.6002,-2.9561,-2.4152,4.139
1.3070,1.4998,-1.0914,-4.8938,5.234
1.3070,1.4998,-1.0914,-4.8938,5.234
1.3240,0.0433,1.3527,-1.8736,2.311
1.3240,0.0433,1.3527,-1.8736,2.311
1.3400,1.4042,1.4634,1.7511,2.679
1.3570,3.0216,1.0939,3.2371,4.561
1.3570,3.0216,1.0939,3.2371,4.561
1.3740,2.0457,1.3668,4.0295,4.721
1.3920,0.9648,1.6968,3.3630,3.888
1.3930,0.9648,1.6968,3.3630,3.888
1.4070,-0.3722,0.7974,0.4692,0.997
1.4080,-0.3722,0.7974,0.4692,0.997
1.4240,-1.6256,1.0340,-1.0753,2.206
1.4400,-2.9498,0.2737,-2.3106,3.757
1.4410,-2.9498,0.2737,-2.3106,3.757
1.4570,-3.6031,-0.8339,-2.1599,4.283
1.4760,-3.4365,-0.9198,-1.3925,3.820
1.4770,-3.4436,-0.6689,-1.5865,3.850
1.4900,-3.3486,-0.0052,-1.8205,3.812
1.5070,-2.5586,1.6915,-1.8538,3.584
1.5080,-2.5586,1.6915,-1.8538,3.584
1.5240,-2.7613,1.3930,-2.7830,4.161
1.5410,-1.6376,4.9159,-0.8624,5.253
1.5410,-1.6376,4.9159,-0.8624,5.253
1.5560,-2.2809,4.6043,-1.1666,5.269
1.5740,-2.9519,2.8592,2.1287,4.628
1.5750,-2.9519,2.8592,2.1287,4.628
1.5930,-2.4966,0.8039,4.9017,5.559
1.5940,-2.4966,0.8039,4.9017,5.559
1.6070,-2.3423,0.2272,5.8379,6.294
1.6240,-2.3789,-0.4181,5.5499,6.053
1.6250,-2.3789,-0.4181,5.5499,6.053
1.6410,-2.3297,-0.7181,4.9926,5.556
1.6570,-1.8119,-0.3312,3.5166,3.970
1.6580,-1.8119,-0.3312,3.5166,3.970
1.6740,-0.9292,0.7505,2.8843,3.122
1.6930,-0.0821,0.3209,3.2325,3.249
1.6940,0.0796,-0.2649,3.5817,3.592
1.7070,0.3151,-1.6922,4.0786,4.427
1.7080,0.3151,-1.6922,4.0786,4.427
1.7240,1.1384,-3.7640,5.1853,6.508
1.7400,1.5163,-4.4232,5.2222,7.010
1.7410,1.5163,-4.4232,5.2222,7.010
1.7580,0.8168,-4.4657,4.3915,6.316
1.7740,-0.0830,-4.5252,2.6245,5.232
1.7750,-0.0830,-4.5252,2.6245,5.232
1.7930,-1.0790,-4.1906,-0.4045,4.346
1.7930,-1.0790,-4.1906,-0.4045,4.346
1.8140,-1.4016,-3.0958,-2.6906,4.334
1.8140,-1.4416,-2.8765,-3.0947,4.464
1.8230,-1.6540,-2.8378,-3.5290,4.821
1.8410,-2.3591,-2.0300,-4.0578,5.114
1.8590,-1.9562,-1.1452,-3.3329,4.031
1.8590,-1.9356,-0.9680,-3.0572,3.746
1.8750,-1.9717,-0.3693,-2.1851,2.966
1.8930,-1.7983,1.1561,-2.1755,3.050
1.8930,-1.7983,1.1561,-2.1755,3.050
1.9080,-1.8576,1.3128,-2.3089,3.241
1.9240,-2.7365,1.0201,-3.1764,4.315
1.9250,-2.8309,1.1253,-3.6690,4.769
1.9410,-2.7762,1.4051,-5.2174,6.075
1.9570,-2.2050,1.0524,-5.6169,6.125
1.9580,-2.0588,0.8157,-5.4711,5.902
1.9760,-1.1145,-0.6076,-4.8922,5.054
1.9760,-1.1145,-0.6076,-4.8922,5.054
1.9940,-0.0200,-4.5819,-4.5036,6.425
2.0080,1.2470,-6.3478,-4.7809,8.044
2.0090,1.2470,-6.3478,-4.7809,8.044
2.0250,2.6949,-4.6516,-6.4327,8.383
2.0410,4.9085,-6.1155,-4.0791,8.839
2.0410,4.9085,-6.1155,-4.0791,8.839
2.0580,6.6560,-8.3412,-0.6136,10.689
2.0770,7.4523,-8.9991,3.7551,12.273
2.0900,6.6728,-7.9200,5.4739,11.714
2.0940,6.3908,-7.2686,5.6686,11.216
2.0940,6.3908,-7.2686,5.6686,11.216
2.1070,5.7253,-6.0174,5.3117,9.859
2.1240,3.6016,-4.9589,3.6557,7.136
2.1250,3.6016,-4.9589,3.6557,7.136
2.1420,1.4091,-3.5089,3.6769,5.274
2.1580,0.9538,-2.2998,3.3117,4.143
2.1590,0.9538,-2.2998,3.3117,4.143
2.1740,1.2931,-0.3352,4.6444,4.833
2.1950,0.8842,2.5055,5.4529,6.066
